word,won,wrong_guesses,repeated_guesses,total_guesses
marmar,True,4,0,7
janet,False,6,0,10
dentistical,True,3,0,12
troveless,True,5,0,12
unnotify,False,6,0,11
gastrostenosis,False,6,0,14
preaffiliation,False,6,0,15
obpyriform,False,6,0,9
veratrinize,False,6,0,13
protection,True,2,0,10
guileless,False,6,0,10
phototactic,True,4,0,11
triloculate,True,1,0,10
trustee,True,3,0,8
sextole,False,6,0,11
wusp,True,5,0,9
shawled,False,6,0,11
cressed,False,6,0,10
always,False,6,0,9
guato,False,6,0,7
undazzling,False,6,0,13
timbromaniac,True,5,0,14
unstraightforward,True,5,0,18
bodleian,False,6,0,13
catechesis,True,4,0,11
atrebates,False,6,0,11
drate,True,2,0,7
upcrowd,False,6,0,7
johnin,False,6,0,9
ventripyramid,False,6,0,15
demency,False,6,0,9
muskroot,False,6,0,11
inframammary,False,6,0,10
observandum,False,6,0,14
poulard,False,6,0,10
rotaman,True,3,0,9
totonac,True,5,0,10
eulamellibranchia,True,5,0,16
brolga,False,6,0,11
sleb,True,4,0,8
comic,False,6,0,9
dullity,False,6,0,8
annotatory,True,2,0,8
cephalanthous,True,2,0,13
nongraduated,False,6,0,14
thokish,False,6,0,10
uncensuring,True,3,0,11
eluviation,False,6,0,13
marcellian,True,2,0,10
periodicalist,True,2,0,13
bafta,False,6,0,8
cingular,False,6,0,13
isobarometric,False,6,0,15
tonelessly,True,3,0,10
rebaptize,False,6,0,11
sentition,True,3,0,9
presternum,False,6,0,12
mirak,False,6,0,9
gynandromorphous,True,5,0,17
memoir,False,6,0,8
inobnoxious,False,6,0,11
commorant,True,3,0,10
widdendream,False,6,0,13
cometic,True,5,0,11
costophrenic,True,1,0,11
radially,True,5,0,11
jumma,False,6,0,9
analysis,True,4,0,10
murmuration,True,4,0,12
bandboxical,False,6,0,12
circumhorizontal,True,4,0,16
unrubbish,False,6,0,11
roquelaure,False,6,0,11
flaxseed,False,6,0,11
carcinolytic,True,2,0,11
pachyglossate,True,5,0,16
crackable,False,6,0,12
unbuoyed,False,6,0,9
adinole,True,4,0,11
glossopalatinus,True,4,0,14
palaeosophy,False,6,0,11
afterglow,False,6,0,12
apoplastogamous,True,5,0,14
